Client: Deltek
"Program: Q2 All Combined (ID: 136996)"

"Date","Account Name","Account Domain","Job Title","Country","Asset Name","Account Reached by Display(Y / N)","Account Reached by Audio(Y / N)","Account Reached by CTV(Y / N)","Refunded","Top MLI Topic (Average Over Last 7 Weeks)","# Trending MLI Topics (Over Last 7 weeks)","MLI Topic 1","MLI Topic 2","MLI Topic 3","MLI Topic 4","MLI Topic 5","MLI Topic 6","MLI Topic 7","MLI Topic 8","MLI Topic 9","MLI Topic 10","MLI Topic 11","MLI Topic 12","MLI Topic 13","MLI Topic 14","MLI Topic 15","MLI Topic 16","MLI Topic 17","MLI Topic 18","MLI Topic 19","MLI Topic 20","MLI Topic 21","MLI Topic 22","MLI Topic 23","MLI Topic 24","MLI Topic 25","MLI Topic 26","MLI Topic 27","MLI Topic 28","MLI Topic 29","MLI Topic 30","MLI Topic 31","MLI Topic 32","MLI Topic 33","MLI Topic 34","MLI Topic 35","MLI Topic 36","MLI Topic 37","MLI Topic 38"
"2026-04-03","21st.Bio","21st.bio","Chief Financial Officer (CFO)","Denmark","The KPI Framework That's Transforming Consulting Firms","Y","N","N","No","",0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-04-03","Addnode Group Ab","addnodegroup.com","Chief Financial Officer (CFO)","Sweden","Is Your Consulting Firm Set Up to Win?","Y","N","N","No","",0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-04-03","Advisense","advisense.com","Chief Financial Officer (CFO)","Sweden","Is Your Consulting Firm Set Up to Win?","Y","N","N","No","",0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-04-03","Agreat","agreat.com","Chief Financial Officer (CFO)","Sweden","The KPI Framework That's Transforming Consulting Firms","Y","N","N","No","",0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-04-03","Aker Solutions","akersolutions.com","VP, Finance","Norway","Adopt a Structured Approach to Resource Planning","Y","N","N","No","erp vendors",16,"project planning","","project finance","","cloud erp","","","","","","","performance engineering","","saas management platform (smp)","","","enterprise cloud","","","saas operations management","project management software","","erp transformation","erp vendors","engineering procurement and construction (epc)","distribution erp software","performance measurement","","technology design & architecture","resource tracking","","lean project management","","","","","",""
"2026-04-03","Aon","aon.com","Director, Finance","United Kingdom (Great Britain)","Adopting Emerging Tech: How to Streamline Project Management and Boost Productivity with Generative AI","Y","N","N","No","lean project management",22,"project planning","","project finance","","","","resource allocation","enterprise architecture","software as a service (saas)","embedded business intelligence","performance management","","","saas management platform (smp)","","erp implementation","","project delivery method","adaptive project management and reporting","saas operations management","project management software","localization project management","","","engineering procurement and construction (epc)","","performance measurement","construction erp","","resource tracking","cloud architect","lean project management","","deltek","financial management","","",""
"2026-04-03","Aon","aon.com","Director of Operations","United Kingdom (Great Britain)","Adopting Emerging Tech: How to Streamline Project Management and Boost Productivity with Generative AI","Y","N","N","No","lean project management",22,"project planning","","project finance","","","","resource allocation","enterprise architecture","software as a service (saas)","embedded business intelligence","performance management","","","saas management platform (smp)","","erp implementation","","project delivery method","adaptive project management and reporting","saas operations management","project management software","localization project management","","","engineering procurement and construction (epc)","","performance measurement","construction erp","","resource tracking","cloud architect","lean project management","","deltek","financial management","","",""
"2026-04-03","Brainlabs","brainlabsdigital.com","Director of Operations","United Kingdom (Great Britain)","Adopting Emerging Tech: How to Streamline Project Management and Boost Productivity with Generative AI","Y","N","N","No","saas operations management",1,"","","","","","","","","","","","","","","","","","","","saas operations management","","","","","","","","","","","","","","","","","",""
"2026-04-03","Clarivate","clarivate.com","Director of Operations","United Kingdom (Great Britain)","Adopting Emerging Tech: How to Streamline Project Management and Boost Productivity with Generative AI","Y","N","N","No","project collaboration",9,"","","project finance","","","","","","","","","performance engineering","project collaboration","","","","","","adaptive project management and reporting","saas operations management","","","","erp vendors","","","","","","resource tracking","","","business intelligence","","financial management","","",""
"2026-04-03","Cooper Parry","cooperparry.com","Director, Finance","United Kingdom (Great Britain)","Adopting Emerging Tech: How to Streamline Project Management and Boost Productivity with Generative AI","Y","N","N","No","",0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-04-03","Cooper Parry","cooperparry.com","Resource Manager","United Kingdom (Great Britain)","Adopting Emerging Tech: How to Streamline Project Management and Boost Productivity with Generative AI","Y","N","N","No","",0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-04-03","Elomatic","elomatic.com","Resource Manager","Finland","Adopt a Structured Approach to Resource Planning","Y","N","N","No","",0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-04-03","Elomatic","elomatic.com","Resource Manager","Finland","Adopt a Structured Approach to Resource Planning","Y","N","N","No","",0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-04-03","Elsevier","elsevier.com","Director of Operations","United Kingdom (Great Britain)","Adopting Emerging Tech: How to Streamline Project Management and Boost Productivity with Generative AI","Y","N","N","No","enterprise cloud",16,"project planning","","project finance","","cloud erp","","resource allocation","enterprise architecture","","","","performance engineering","project collaboration","","","","enterprise cloud","","adaptive project management and reporting","saas operations management","","","","erp vendors","engineering procurement and construction (epc)","","performance measurement","","","resource tracking","","","","deltek","","resource management","",""
"2026-04-03","Elsevier","elsevier.com","Chief Financial Officer (CFO)","United Kingdom (Great Britain)","Adopting Emerging Tech: How to Streamline Project Management and Boost Productivity with Generative AI","Y","N","N","No","enterprise cloud",16,"project planning","","project finance","","cloud erp","","resource allocation","enterprise architecture","","","","performance engineering","project collaboration","","","","enterprise cloud","","adaptive project management and reporting","saas operations management","","","","erp vendors","engineering procurement and construction (epc)","","performance measurement","","","resource tracking","","","","deltek","","resource management","",""
"2026-04-03","Granlund","granlund.fi","Director of Project Management","Finland","Adopt a Structured Approach to Resource Planning","Y","N","N","No","enterprise cloud",1,"","","","","","","","","","","","","","","","","enterprise cloud","","","","","","","","","","","","","","","","","","","","",""
"2026-04-07","Arcadis","arcadis.com","Director, Finance","United Kingdom (Great Britain)","Discover how AI is Powering the Project Lifecycle for Architecture & Engineering Firms","Y","N","N","No","enterprise cloud",15,"project planning","","project finance","","","on-premise applications","","","software as a service (saas)","","performance management","performance engineering","project collaboration","","","","enterprise cloud","","adaptive project management and reporting","saas operations management","project management software","","","","engineering procurement and construction (epc)","","","","technology design & architecture","resource tracking","cloud architect","","","","","","",""
"2026-04-07","Bidwells","bidwells.co.uk","Chief Financial Officer (CFO)","United Kingdom (Great Britain)","Discover how AI is Powering the Project Lifecycle for Architecture & Engineering Firms","Y","N","N","No","",0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-04-07","Cast Consultancy","cast-consultancy.com","Director, Finance","United Kingdom (Great Britain)","Discover how AI is Powering the Project Lifecycle for Architecture & Engineering Firms","Y","N","N","No","",0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-04-07","Jacobs","jacobs.com","Director of Operations","United Kingdom (Great Britain)","Discover how AI is Powering the Project Lifecycle for Architecture & Engineering Firms","Y","N","N","No","project management software",20,"project planning","","project finance","","","","resource allocation","enterprise architecture","software as a service (saas)","","","","project collaboration","saas management platform (smp)","","","","project delivery method","adaptive project management and reporting","saas operations management","project management software","localization project management","","","engineering procurement and construction (epc)","","performance measurement","construction erp","","resource tracking","cloud architect","","","deltek","financial management","resource management","",""
"2026-04-07","Ocu Modus","modusutilities.co.uk","Director of Operations","United Kingdom (Great Britain)","Financial Management Tips for Growing Architecture & Engineering Firms","Y","N","N","No","",0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
