Client: Deltek
"Program: Q2 All Combined (ID: 136996)"

Overview
Number of Accounts Targeted , 3144
Number of New Accounts , 37
Number of Removed Accounts , 714

"Accounts Targeted","New Accounts","Removed Accounts"
"11fs.com","ai.dk","21st.bio"
"1spatial.com","bangbeen.dk","4klovern.se"
"21st.bio","brixkamp.dk","7n.com"
"360architecture.com","cubo.dk","a-2.no"
"3chillies.co.uk","cw-arkitekter.dk","aaenco.dk"
"3di-info.com","danakon.dk","aaro.com"
"3dreid.com","dj-co.dk","abax.no"
"3ds.com","drias.dk","accaglobal.com"
"3hpartners.com","ea-energianalyse.dk","accelerace.dk"
"3squared.com","ettelva.se","accenture.com"
"3t-europe.com","eurofins.dk","accountor.se"
"3t-ltg.com","frecon.dk","accountorgroup.com"
"40seven.com","geusbulletin.org","acona.com"
"4cassociates.com","gpp.dk","acorntechnology.se"
"4global.com","henry-jensen.dk","actea.se"
"4klovern.se","hiq.se","adaptagency.com"
"5i.co.uk","hplus.dk","additude.se"
"5plusarchitects.com","ingenior-ne.dk","addnodegroup.com"
"6alpha.com","isc.dk","adlittle.com"
"6dg.co.uk","logikalplan.com","advisense.com"
"7n.com","lspgrd.dk","aff.no"
"7narchitects.com","molbak.dk","agenthusetnordic.com"
"a-2.no","nti.dk","agillic.com"
"a-lab.no","obh-gruppen.dk","agio.se"
"a-leaf.dk","ollgaard.dk","agreat.com"
"aab.uk","optimapartners.co.uk","aize.io"
"aaenco.dk","pjp.dk","alexandra.dk"
"aaid.co.uk","proeng.dk","alfa.nl"
"aap3.com","sla.dk","alithya.com"
"aaro.com","strunge.dk","alixpartners.com"
"aase.no","tech-invent.dk","allegretto.se"
"abako.se","tvilum.dk","almpartners.com"
"abax.no","vibing.dk","alpha-solutions.com"
"abcam.com","viggo-madsen.dk","alphasights.com"
"abilitynet.org.uk","vitaing.dk","alsglobal.com"
"abl-group.com","vso.is","alten.be"
"abo-ark.no","vttventures.fi","alzheimers.org.uk"
"abpmer.co.uk","","ambientia.fi"
"absoft.co.uk","","amnesty.dk"
"abzena.com","","amnesty.no"
"acas.org.uk","","amnesty.se"
"accelerace.dk","","anders.fi"
"accesspartnership.com","","ankura.com"
"accountor.se","","anticimex.com"
"accountorgroup.com","","apicasystems.com"
"acdenvironmental.co.uk","","appelberg.com"
"aceconsultants.co.uk","","appfarm.io"
"aceda.co.uk","","aqua.dtu.dk"
"acgarchitects.co.uk","","arbejdsmiljoforskning.dk"
"achievebreakthrough.com","","arcusys.com"
