Client: Deltek
"Program: Q2 All Combined (ID: 136996)"

Targeted Accounts,Trending,Reached,Engaged,Predictive Buying Stage
tacton.com,Yes,Yes,Yes,Awareness
mercuryeng.com,Yes,Yes,Yes,Preawareness
maersk.com,Yes,Yes,Yes,Decision
clarivate.com,Yes,Yes,Yes,Decision
deloitte.co.uk,Yes,Yes,Yes,Awareness
aon.com,Yes,Yes,Yes,Awareness
elsevier.com,Yes,Yes,Yes,Awareness
softwire.com,Yes,Yes,Yes,Decision
xeinadin.com,Yes,Yes,Yes,No Active Signals
jacobs.com,Yes,Yes,Yes,Awareness
snohetta.com,Yes,Yes,Yes,Awareness
frpadvisory.com,Yes,Yes,Yes,No Active Signals
nccgroup.com,Yes,Yes,Yes,Awareness
granlund.fi,Yes,Yes,Yes,Awareness
ninetyone.com,Yes,Yes,Yes,Decision
deloitte.dk,Yes,Yes,Yes,No Active Signals
fosterandpartners.com,Yes,Yes,Yes,Awareness
bytes.co.uk,Yes,Yes,Yes,Decision
sinch.com,Yes,Yes,Yes,Decision
gartner.com,Yes,Yes,Yes,Awareness
jisc.ac.uk,Yes,Yes,Yes,Awareness
dunnhumby.com,Yes,Yes,Yes,Decision
cranfield.ac.uk,Yes,Yes,Yes,Awareness
gbgplc.com,Yes,Yes,Yes,Decision
teneo.com,Yes,Yes,Yes,Awareness
softronic.se,Yes,Yes,Yes,Awareness
vistra.com,Yes,Yes,Yes,Decision
tribalgroup.com,Yes,Yes,Yes,Decision
big.dk,Yes,Yes,Yes,Preawareness
championsukplc.com,Yes,Yes,Yes,No Active Signals
hiq.se,Yes,Yes,Yes,No Active Signals
akersolutions.com,Yes,Yes,Yes,Decision
meganexus.com,Yes,Yes,Yes,No Active Signals
controlrisks.com,Yes,Yes,Yes,Decision
bakerhughes.com,Yes,Yes,Yes,Awareness
pickeverard.co.uk,Yes,Yes,Yes,Awareness
proximagroup.com,Yes,Yes,Yes,Awareness
tyrens.se,Yes,Yes,Yes,Awareness
firesafe.no,Yes,Yes,Yes,No Active Signals
accenture.com,Yes,Yes,Yes,Awareness
caverion.com,Yes,Yes,Yes,Awareness
autolus.com,Yes,Yes,Yes,No Active Signals
anordmardix.com,Yes,Yes,Yes,Preawareness
fiserv.com,Yes,Yes,Yes,Awareness
caa.co.uk,Yes,Yes,Yes,Awareness
expleogroup.com,Yes,Yes,Yes,No Active Signals
ri.se,Yes,Yes,Yes,No Active Signals
arcadis.com,Yes,Yes,Yes,Awareness
brainlabsdigital.com,Yes,Yes,Yes,Awareness
capco.com,Yes,Yes,Yes,Awareness
pharmagenesis.com,Yes,Yes,Yes,Awareness
paconsulting.com,Yes,Yes,Yes,Awareness
plparchitecture.com,Yes,Yes,No,No Active Signals
cbre.co.uk,Yes,Yes,No,No Active Signals
pplconsulting.co.uk,Yes,Yes,No,No Active Signals
