Client: Deltek
"Program: Q2 All Combined (ID: 136996)"

Company,Category,Topic,ML Insights Score
A.P. Moller - Maersk(maersk.com),"budgeting, planning & strategy",resource tracking,62
A.P. Moller - Maersk(maersk.com),analytics & reporting,embedded business intelligence,95
A.P. Moller - Maersk(maersk.com),cloud,enterprise cloud,85
A.P. Moller - Maersk(maersk.com),business solutions,project management software,84
A.P. Moller - Maersk(maersk.com),software engineering,performance engineering,71
A.P. Moller - Maersk(maersk.com),product development & qa,adaptive project management and reporting,87
A.P. Moller - Maersk(maersk.com),"budgeting, planning & strategy",project planning,84
A.P. Moller - Maersk(maersk.com),supply chain,distribution erp software,94
A.P. Moller - Maersk(maersk.com),it management,saas operations management,99
Abbvie(abbvie.com),business solutions,project management software,73
Abbvie(abbvie.com),analytics & reporting,business intelligence,80
Abbvie(abbvie.com),it management,saas operations management,91
Abcam(abcam.com),it management,saas operations management,84
Accenture(accenture.com),performance,performance measurement,68
Accenture(accenture.com),it management,saas operations management,82
Accenture(accenture.com),"budgeting, planning & strategy",project delivery method,90
Accenture(accenture.com),business solutions,project management software,62
Accenture(accenture.com),supply chain,distribution erp software,84
Accenture(accenture.com),training & development,resource management,65
Accenture(accenture.com),product development & qa,adaptive project management and reporting,82
Accenture(accenture.com),translation & language,localization project management,94
Acm Global Laboratories(acmgloballab.com),it management,saas operations management,62
"Acora - It, Cyber & Ai(acora.com)",cloud,enterprise cloud,99
Advania Uk(advania.com),it management,saas operations management,94
Aecom(aecom.com),enterprise,erp implementation,95
Aecom(aecom.com),performance,performance measurement,93
Aecom(aecom.com),cloud,enterprise cloud,82
Aecom(aecom.com),contracts,engineering procurement and construction (epc),80
Aecom(aecom.com),software engineering,performance engineering,65
Aecom(aecom.com),cloud,cloud erp,94
Aecom(aecom.com),"budgeting, planning & strategy",project delivery method,62
Aecom(aecom.com),it management,saas operations management,94
Aecom(aecom.com),training & development,resource management,89
Air Products(airproducts.com),it management,saas operations management,87
Air Products(airproducts.com),cloud,enterprise cloud,94
Air Products(airproducts.com),"budgeting, planning & strategy",financial management,76
Aker Solutions(akersolutions.com),other,erp vendors,76
Aker Solutions(akersolutions.com),supply chain,distribution erp software,76
Aker Solutions(akersolutions.com),business finance,project finance,98
Aker Solutions(akersolutions.com),it management,saas operations management,90
Aker Solutions(akersolutions.com),business solutions,saas management platform (smp),84
Akhter Computers Ltd(akhter.co.uk),operations,erp transformation,94
Alithya(alithya.com),"budgeting, planning & strategy",project delivery method,98
Alithya(alithya.com),it management,saas operations management,94
Alixpartners(alixpartners.com),contracts,engineering procurement and construction (epc),98
Alixpartners(alixpartners.com),it management,saas operations management,96
Alixpartners(alixpartners.com),business solutions,project management software,98
Alixpartners(alixpartners.com),enterprise,enterprise architecture,65
Alixpartners(alixpartners.com),"budgeting, planning & strategy",resource allocation,95
Alphasights(alphasights.com),it management,saas operations management,73
Alphasights(alphasights.com),software engineering,performance engineering,62
Alphasights(alphasights.com),supply chain,distribution erp software,76
Als(alsglobal.com),supply chain,distribution erp software,93
Alva(alva-group.com),it management,saas operations management,76
Amdocs(amdocs.com),"budgeting, planning & strategy",project delivery method,78
Amdocs(amdocs.com),translation & language,localization project management,76
Amdocs(amdocs.com),it management,saas operations management,78
Anord Mardix(anordmardix.com),product development & qa,project collaboration,82
Aon(aon.com),enterprise,erp implementation,71
Aon(aon.com),translation & language,localization project management,65
Aon(aon.com),performance,performance management,85
Aon(aon.com),it management,saas operations management,82
Aon(aon.com),"budgeting, planning & strategy",lean project management,85
Appen(appen.com),"budgeting, planning & strategy",project planning,71
Appen(appen.com),operations,erp transformation,65
Arcadis(arcadis.com),it management,saas operations management,73
Arcadis(arcadis.com),cloud,enterprise cloud,71
Arup(arup.com),it management,on-premise applications,95
Arup(arup.com),"budgeting, planning & strategy",resource allocation,93
Arup(arup.com),it management,saas operations management,73
Arup(arup.com),other,construction erp,90
Ascom(ascom.com),product development & qa,project collaboration,97
Ascom(ascom.com),business solutions,project management software,65
Ascom(ascom.com),it management,saas operations management,90
Aspire Technology Solutions(aspirets.com),contracts,engineering procurement and construction (epc),76
Aspire Technology Solutions(aspirets.com),business solutions,project management software,99
Aspire Technology Solutions(aspirets.com),product development & qa,adaptive project management and reporting,85
Astex Pharmaceuticals(astx.com),it management,saas operations management,68
Atkins(atkinsglobal.com),it management,saas operations management,89
Atkins(atkinsglobal.com),business finance,project finance,68
Atkins(atkinsglobal.com),business finance,financial management services,78
Atkins(atkinsglobal.com),supply chain,distribution erp software,90
Atos(atos.net),cloud,cloud erp,62
Atos(atos.net),other,erp vendors,65
Atos(atos.net),business finance,project finance,76
Atos(atos.net),it management,saas operations management,80
Atos(atos.net),business solutions,project management software,93
Atos(atos.net),contracts,engineering procurement and construction (epc),84
Atos(atos.net),"budgeting, planning & strategy",resource allocation,78
Atos(atos.net),supply chain,distribution erp software,78
Autolus Therapeutics(autolus.com),product development & qa,project management,87
Avl(avl.com),it management,saas operations management,93
Axians(axians.com),it management,saas operations management,78
Axians(axians.com),cloud,enterprise cloud,76
Babcock & Wilcox(babcock.com),product development & qa,adaptive project management and reporting,84
Babcock & Wilcox(babcock.com),cloud,enterprise cloud,68
Babcock & Wilcox(babcock.com),"budgeting, planning & strategy",project delivery method,65
Babcock & Wilcox(babcock.com),it management,saas operations management,89
Bae Systems(baesystems.com),it management,saas operations management,99
Bae Systems(baesystems.com),"budgeting, planning & strategy",project planning,82
Bae Systems(baesystems.com),performance,performance measurement,76
Bae Systems(baesystems.com),it management,technology design & architecture,90
Bae Systems(baesystems.com),cloud,cloud erp,62
Bae Systems(baesystems.com),business solutions,project management software,65
Bain & Company(bain.com),performance,performance measurement,62
Bain & Company(bain.com),software engineering,performance engineering,65
Bain & Company(bain.com),contracts,engineering procurement and construction (epc),62
Bain & Company(bain.com),cloud,enterprise cloud,87
Bain & Company(bain.com),translation & language,localization project management,62
Baker Hughes(bakerhughes.com),contracts,engineering procurement and construction (epc),82
