Client: Synchrony
"Program: Synchrony CCB2B - HIA incremental 8_2026 (ID: 132959)"

"Date","Account Name","Account Domain","Leads","Display Impressions","Clicks","Click Through Rate","Exposure Time (Minutes)","Site Visits","Exposure Time per Site Visit (Minutes)","Top MLI Topic (Average Over Last 7 Weeks)","# Trending MLI Topics (Over Last 7 weeks)","Predictive Buying Stage","MLI Topic 1","MLI Topic 2","MLI Topic 3","MLI Topic 4","MLI Topic 5","MLI Topic 6","MLI Topic 7","MLI Topic 8","MLI Topic 9","MLI Topic 10","MLI Topic 11","MLI Topic 12","MLI Topic 13","MLI Topic 14","MLI Topic 15","MLI Topic 16","MLI Topic 17","MLI Topic 18","MLI Topic 19"
"2026-05-27","Ablelight","ablelight.org",1,0,0,0,,0,,"wells fargo (wfc)",2,"No Active Signals","","","","","klarna","","wells fargo (wfc)","","","","","","","","","","","",""
"2026-06-22","Ablelight","ablelight.org",1,0,0,0,,0,,"wells fargo (wfc)",2,"No Active Signals","","","","","klarna","","wells fargo (wfc)","","","","","","","","","","","",""
"2026-03-23","Acadia Healthcare","acadiahealthcare.com",1,0,0,0,,0,,"patient payments",9,"No Active Signals","paypal (pypl)","","medical billing","","klarna","affirm","","","paypal pay in 4","paypal credit","afterpay","Affirm","","","patient payments","","","",""
"2026-01-10","Acadia Healthcare","acadiahealthcare.com",1,0,0,0,,0,,"patient payments",9,"No Active Signals","paypal (pypl)","","medical billing","","klarna","affirm","","","paypal pay in 4","paypal credit","afterpay","Affirm","","","patient payments","","","",""
"2026-03-14","Acadia Healthcare","acadiahealthcare.com",1,0,0,0,,0,,"patient payments",9,"No Active Signals","paypal (pypl)","","medical billing","","klarna","affirm","","","paypal pay in 4","paypal credit","afterpay","Affirm","","","patient payments","","","",""
"2026-06-02","Accentcare","accentcare.com",1,0,0,0,,0,,"patient payments",8,"No Active Signals","paypal (pypl)","payment solutions","medical billing","","","","","","paypal pay in 4","paypal credit","afterpay","","payment plan","","patient payments","","","",""
"2026-06-09","Accentcare","accentcare.com",1,0,0,0,,0,,"patient payments",8,"No Active Signals","paypal (pypl)","payment solutions","medical billing","","","","","","paypal pay in 4","paypal credit","afterpay","","payment plan","","patient payments","","","",""
"2026-04-24","Accesshealth","accesshealthwv.com",1,0,0,0,,0,,"wells fargo (wfc)",6,"No Active Signals","paypal (pypl)","payment solutions","medical billing","","klarna","","wells fargo (wfc)","","","","","","","","patient payments","","","",""
"2026-03-14","Access Telecare","accesstelecare.com",2,0,0,0,,0,,"paypal (pypl)",1,"No Active Signals","paypal (pypl)","","","","","","","","","","","","","","","","","",""
"2026-05-06","Access Telecare","accesstelecare.com",1,0,0,0,,0,,"paypal (pypl)",1,"No Active Signals","paypal (pypl)","","","","","","","","","","","","","","","","","",""
"2026-06-01","Advantagecare Physicians","acpny.com",1,0,0,0,,0,,"paypal credit",7,"No Active Signals","paypal (pypl)","","","","klarna","","wells fargo (wfc)","paypal pay later","","paypal credit","afterpay","","","debt relief","","","","",""
"2026-01-26","Advantagecare Physicians","acpny.com",1,0,0,0,,0,,"paypal credit",7,"No Active Signals","paypal (pypl)","","","","klarna","","wells fargo (wfc)","paypal pay later","","paypal credit","afterpay","","","debt relief","","","","",""
"2026-06-15","Addus Homecare","addus.com",2,0,0,0,,0,,"medical billing",7,"No Active Signals","paypal (pypl)","payment solutions","medical billing","","","","","paypal pay later","","","afterpay","","payment plan","","patient payments","","","",""
"2026-06-22","Adena Health System","adena.org",1,0,0,0,,0,,"wells fargo (wfc)",6,"No Active Signals","","","","","klarna","","wells fargo (wfc)","","","","afterpay","","payment plan","","patient payments","","","sezzle",""
"2026-06-15","Adventhealth","adventhealth.com",1,0,0,0,,0,,"medical billing",6,"No Active Signals","","","medical billing","","","","","paypal pay later","","paypal credit","afterpay","","","","patient payments","","","sezzle",""
"2026-03-23","Adventhealth","adventhealth.com",1,0,0,0,,0,,"medical billing",6,"No Active Signals","","","medical billing","","","","","paypal pay later","","paypal credit","afterpay","","","","patient payments","","","sezzle",""
"2026-03-14","Adventhealth","adventhealth.com",1,0,0,0,,0,,"medical billing",6,"No Active Signals","","","medical billing","","","","","paypal pay later","","paypal credit","afterpay","","","","patient payments","","","sezzle",""
"2026-06-23","Adventhealth","adventhealth.com",1,0,0,0,,0,,"medical billing",6,"No Active Signals","","","medical billing","","","","","paypal pay later","","paypal credit","afterpay","","","","patient payments","","","sezzle",""
"2026-05-06","Adventist Healthcare","adventisthealthcare.com",1,0,0,0,,0,,"patient payments",6,"No Active Signals","paypal (pypl)","payment solutions","medical billing","","","","","","","","afterpay","","","debt relief","patient payments","","","",""
"2026-03-21","Advocate Health","advocatehealth.org",1,0,0,0,,0,,"afterpay",6,"No Active Signals","","payment solutions","medical billing","","","","","","paypal pay in 4","paypal credit","afterpay","","","","patient payments","","","",""
