Client: Synchrony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Program: Synchrony CCB2B - HIA incremental 8_2026 (ID: 132959),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Account Name,Account Domain,Job Title,Country,Asset Name,Account Reached by Display(Y / N),Account Reached by Audio(Y / N),Account Reached by CTV(Y / N),Refunded,Top MLI Topic (Average Over Last 7 Weeks),# Trending MLI Topics (Over Last 7 weeks),MLI Topic 1,MLI Topic 2,MLI Topic 3,MLI Topic 4,MLI Topic 5,MLI Topic 6,MLI Topic 7,MLI Topic 8,MLI Topic 9,MLI Topic 10,MLI Topic 11,MLI Topic 12,MLI Topic 13,MLI Topic 14,MLI Topic 15,MLI Topic 16,MLI Topic 17,MLI Topic 18,MLI Topic 19
10-01-26,Acadia Healthcare,acadiahealthcare.com,Chief Financial Officer,United States,How Cost Impacts the Patient and Provider Journey,N,N,N,No,patient payments,9,patient payments,paypal (pypl),,,,klarna,,,afterpay,affirm,,,,medical billing,Affirm,paypal credit,paypal pay in 4,,
10-01-26,Akron Children's,akronchildrens.org,Nurse Practitioner,United States,The Role of Third-Party  Financing in the Health and  Wellness Payment Landscape,N,N,N,No,medical billing,11,patient payments,,,,,klarna,sezzle,,afterpay,affirm,,credit Management,payment solutions,medical billing,Affirm,paypal credit,,,wells fargo (wfc)
10-01-26,Akron Children's,akronchildrens.org,Nurse Practitioner,United States,The Role of Third-Party  Financing in the Health and  Wellness Payment Landscape,N,N,N,No,medical billing,11,patient payments,,,,,klarna,sezzle,,afterpay,affirm,,credit Management,payment solutions,medical billing,Affirm,paypal credit,,,wells fargo (wfc)
10-01-26,Akron Children's,akronchildrens.org,Nurse Practitioner,United States,Lifetime of Healthcare Costs in the U.S.,N,N,N,No,medical billing,11,patient payments,,,,,klarna,sezzle,,afterpay,affirm,,credit Management,payment solutions,medical billing,Affirm,paypal credit,,,wells fargo (wfc)
10-01-26,Akron Children's,akronchildrens.org,"Revenue Cycle Leader (VP, Director, Manager)",United States,How Cost Impacts the Patient and Provider Journey,N,N,N,No,medical billing,11,patient payments,,,,,klarna,sezzle,,afterpay,affirm,,credit Management,payment solutions,medical billing,Affirm,paypal credit,,,wells fargo (wfc)
10-01-26,Aspirus Health,aspirus.org,Physician Assistant,United States,Recognizing Burnout in Healthcare Staff and Ideas for Addressing It,N,N,N,No,medical billing,4,patient payments,,,,,,,,afterpay,,,,,medical billing,,,,,wells fargo (wfc)
10-01-26,Atlanticare,atlanticare.org,Physician Assistant,United States,Recognizing Burnout in Healthcare Staff and Ideas for Addressing It,N,N,N,No,patient payments,6,patient payments,paypal (pypl),,,,,,,afterpay,,,,,medical billing,,,paypal pay in 4,,wells fargo (wfc)
10-01-26,Atlantic Health,atlantichealth.org,Physician Assistant,United States,Lifetime of Healthcare Costs in the U.S.,N,N,N,No,paypal pay in 4,9,patient payments,paypal (pypl),,,,,sezzle,paypal pay later,afterpay,,payment plan,,payment solutions,medical billing,,,paypal pay in 4,,
10-01-26,Atrium Health,atriumhealth.org,Nurse Practitioner,United States,The Role of Third-Party  Financing in the Health and  Wellness Payment Landscape,N,N,N,No,medical billing,6,patient payments,paypal (pypl),,,,,sezzle,,afterpay,,,,,medical billing,,,,,wells fargo (wfc)
10-01-26,Bayhealth,bayhealth.org,Physician Assistant,United States,How Cost Impacts the Patient and Provider Journey,N,N,N,No,patient payments,5,patient payments,paypal (pypl),,,,,,,,affirm,,,,medical billing,Affirm,,,,
