Client: Synchrony
"Program: Synchrony CCB2B - HIA incremental 8_2026 (ID: 132959)"

Company,Category,Topic,ML Insights Score
1199seiu Benefit And Pension Funds(1199seiubenefits.org),financial,paypal (pypl),67
3hc Home Health & Hospice Care Inc.(3hc.org),financial,wells fargo (wfc),100
ABC(kibaam.com),administration,patient payments,83
ALEGENT HEALTH(alegent.org),financial,wells fargo (wfc),67
ALEGENT HEALTH(alegent.org),administration,patient payments,88
ALEGENT HEALTH(alegent.org),financial,afterpay,96
ALEGENT HEALTH(alegent.org),personal finance,debt relief,94
ALI ALTIN(hotail.com),administration,patient payments,100
ALI ALTIN(hotail.com),transactions & payments,payment solutions,94
ALI ALTIN(hotail.com),financial,afterpay,86
ALL METRO HEALTH CARE(allmetro.com),financial,paypal (pypl),65
AMATEUR ATHLETIC UNION OF THE UNITED STA(bmcjax.com),financial,paypal pay in 4,88
AMATEUR ATHLETIC UNION OF THE UNITED STA(bmcjax.com),administration,medical billing,85
AMATEUR ATHLETIC UNION OF THE UNITED STA(bmcjax.com),financial,paypal (pypl),97
Abbott House(abbotthouse.net),personal finance,debt relief,67
Ablelight(ablelight.org),financial,wells fargo (wfc),98
Acadia Healthcare(acadiahealthcare.com),administration,patient payments,100
Acadia Healthcare(acadiahealthcare.com),financial,afterpay,70
Acadia Healthcare(acadiahealthcare.com),financial,paypal pay in 4,70
Acadia Healthcare(acadiahealthcare.com),administration,medical billing,95
Acadian Ambulance(acadianambulance.com),financial,paypal pay in 4,62
Accentcare(accentcare.com),financial,paypal credit,62
Accentcare(accentcare.com),administration,patient payments,77
Accentcare(accentcare.com),financial,paypal (pypl),86
Accesshealth(accesshealthwv.com),administration,medical billing,86
Accolade Healthcare(accoladehc.com),personal finance,debt relief,96
Accredo Specialty Pharmacy(accredo.com),administration,medical billing,81
Addus Homecare(addus.com),administration,medical billing,75
Addus Homecare(addus.com),transactions & payments,payment plan,75
Addus Homecare(addus.com),financial,paypal (pypl),77
Addus Homecare(addus.com),administration,patient payments,62
Adreima(adreima.com),personal finance,debt relief,99
Adreima(adreima.com),financial,paypal pay in 4,86
Advanced Dermatology And Cosmetic Surgery(advancedderm.com),financial,wells fargo (wfc),79
Advanced Dermatology And Cosmetic Surgery(advancedderm.com),administration,medical billing,88
"Advanced Home Care, Inc.(advancedhomecare.net)",financial,paypal pay later,81
"Advanced Recovery Systems, Llc(advancedrecoverysystems.com)",administration,patient payments,70
Advantage Home Care(advantagehhc.com),financial,paypal (pypl),92
Advantagecare Physicians(acpny.com),personal finance,debt relief,62
Adventhealth(adventhealth.com),administration,medical billing,98
Adventhealth(adventisthealthsystem.com),financial,paypal pay in 4,83
Adventist Healthcare(adventisthealthcare.com),personal finance,debt relief,67
Adventist Healthcare(adventisthealthcare.com),financial,afterpay,91
Adventist Healthcare(adventisthealthcare.com),administration,medical billing,77
Adventist Healthcare(adventisthealthcare.com),administration,patient payments,83
Advocate Aurora Health(advocateaurorahealth.org),financial,paypal pay in 4,77
Advocate Health(advocatehealth.org),transactions & payments,payment solutions,79
Advocate Health(advocatehealth.org),financial,afterpay,79
Advocate Health(advocatehealth.org),administration,patient payments,67
Advocate Health(advocatehealth.org),administration,medical billing,70
Advocate Health(advocatehealth.org),financial,paypal pay in 4,86
Aegis Living(aegisliving.com),financial,paypal pay in 4,91
Aegis Therapies(aegistherapies.com),financial,sezzle,96
Aegis Therapies(aegistherapies.com),administration,medical billing,98
"Aerocare Holdings, Inc.(aerocareusa.com)",financial,paypal (pypl),62
Affinity Health System(affinityhealth.org),personal finance,debt relief,95
Agnesian Healthcare(agnesian.com),financial,wells fargo (wfc),70
Agnesian Healthcare(agnesian.com),financial,paypal pay in 4,86
Agnesian Healthcare(agnesian.com),financial,afterpay,88
Air Evac Lifeteam(lifeteam.net),financial,paypal pay in 4,79
Air Evac Lifeteam(lifeteam.net),financial,klarna,90
Air Evac Lifeteam(lifeteam.net),financial,wells fargo (wfc),62
Air Methods(airmethods.com),administration,medical billing,86
Air Methods(airmethods.com),financial,paypal pay in 4,81
Akron Children's(akronchildrens.org),financial,afterpay,81
Akron Children's(akronchildrens.org),administration,medical billing,95
Akron Children's(akronchildrens.org),accounting,credit Management,67
Akron Children's(akronchildrens.org),financial,wells fargo (wfc),62
Alacare Home Health & Hospice(alacare.com),financial,paypal (pypl),81
Alameda Health System(alamedahealthsystem.org),financial,paypal credit,93
Alameda Health System(alamedahealthsystem.org),administration,medical billing,75
Alameda Health System(alamedahealthsystem.org),financial,sezzle,70
Alameda Health System(alamedahealthsystem.org),financial,afterpay,62
Alameda Health System(alamedahealthsystem.org),financial,paypal pay in 4,72
Albemarle Hospital(albemarlehealth.org),personal finance,debt relief,99
"Almost Family, Inc.(almostfamily.com)",financial,paypal pay in 4,85
"Almost Family, Inc.(almostfamily.com)",transactions & payments,payment solutions,86
"Almost Family, Inc.(almostfamily.com)",financial,paypal (pypl),75
"Almost Family, Inc.(almostfamily.com)",financial,paypal pay later,72
"Almost Family, Inc.(almostfamily.com)",financial,paypal credit,83
"Almost Family, Inc.(almostfamily.com)",administration,medical billing,95
Alta View Hospital(ihc.com),financial,afterpay,98
Alta View Hospital(ihc.com),administration,medical billing,86
Alta View Hospital(ihc.com),transactions & payments,payment solutions,85
Alta View Hospital(ihc.com),financial,wells fargo (wfc),79
Alta View Hospital(ihc.com),administration,patient payments,92
Altamed Health Services(altamed.org),administration,patient payments,65
Alvarado Hospital Medical Center(alvaradohospital.com),personal finance,debt relief,77
Alvarado Hospital Medical Center(alvaradohospital.com),financial,afterpay,90
Amada Senior Care(amadaseniorcare.com),financial,paypal credit,75
Amada Senior Care(amadaseniorcare.com),financial,paypal pay in 4,79
Ambulatory Surgery Center Association (Asca)(ascassociation.org),financial,paypal (pypl),99
Ambulatory Surgery Center Association (Asca)(ascassociation.org),financial,paypal pay in 4,90
American Cancer Society(cancer.org),financial,wells fargo (wfc),88
American Cancer Society(cancer.org),administration,medical billing,95
American Heart Association(heart.org),administration,medical billing,75
American Heart Association(heart.org),financial,paypal (pypl),81
American Homepatient(ahom.com),administration,medical billing,98
American Homepatient(ahom.com),transactions & payments,payment solutions,79
American Homepatient(ahom.com),financial,klarna,91
American Medical Response(amr.net),administration,medical billing,83
American Medical Response(amr.net),financial,paypal credit,85
American Medical Response(amr.net),financial,paypal pay in 4,65
American Medical Response(amr.net),financial,afterpay,77
American Medical Response(amr.net),administration,patient payments,62
American Occupational Therapy Foundation(aotf.org),personal finance,debt relief,92
American Renal Associates(americanrenal.com),financial,wells fargo (wfc),67
American Renal Associates(americanrenal.com),financial,klarna,92
American Renal Associates(americanrenal.com),financial,paypal (pypl),62
American Renal Associates(americanrenal.com),financial,paypal pay later,85
American Society Of Anesthesiologists®(asahq.org),financial,paypal pay in 4,98
Amerihealth Caritas(amerihealthcaritas.com),administration,patient payments,81
Amerihealth Caritas(amerihealthcaritas.com),administration,medical billing,90
Amita Health(amitahealth.org),financial,paypal pay in 4,83
Amita Health(amitahealth.org),administration,medical billing,75
Amphion Medical Solutions | An Imedx Company(amphionmedical.com),financial,paypal pay in 4,72
Ang Healthcare Inc.(anghealthcare.com),personal finance,debt relief,79
Ang Healthcare Inc.(anghealthcare.com),transactions & payments,payment plan,97
Angelica(angelica.com),financial,paypal (pypl),72
Anmed Health(anmedhealth.org),financial,paypal pay in 4,100
Anmed Health(anmedhealth.org),financial,paypal pay later,72
Anmed Health(anmedhealth.org),financial,paypal (pypl),79
Ann & Robert H. Lurie Children's Hospital Of Chicago(luriechildrens.org),financial,paypal pay later,75
Ann & Robert H. Lurie Children's Hospital Of Chicago(luriechildrens.org),financial,afterpay,83
Ann & Robert H. Lurie Children's Hospital Of Chicago(luriechildrens.org),administration,medical billing,98
Ann & Robert H. Lurie Children's Hospital Of Chicago(luriechildrens.org),administration,patient payments,70
Antelope Valley Medical Center(avmc.org),financial,paypal pay in 4,70
Antioch Unified School District(antiochschools.net),financial,wells fargo (wfc),75
Anytime Fitness(anytimefitness.com),financial,paypal pay later,75
Anytime Fitness(anytimefitness.com),administration,medical billing,90
Anytime Fitness(anytimefitness.com),financial,paypal credit,62
Apollomd(apollomd.com),administration,patient payments,99
Appalachian Regional Healthcare (Arh)(arh.org),financial,wells fargo (wfc),72
Appalachian Regional Healthcare (Arh)(arh.org),administration,medical billing,90
Appalachian Regional Healthcare System(apprhs.org),administration,patient payments,81
Apple Rehab(apple-rehab.com),financial,paypal pay in 4,67
Apple Rehab(apple-rehab.com),financial,paypal pay later,88
Archbold(archbold.org),personal finance,debt relief,67
Archcare(archcare.org),administration,patient payments,62
Arcpoint Labs(arcpointlabs.com),financial,wells fargo (wfc),99
Arizona Pain(arizonapain.com),personal finance,debt relief,100
Arkansas Children's(archildrens.org),administration,medical billing,85
Arkansas Children's(archildrens.org),financial,paypal (pypl),86
Arkansas Children's(archildrens.org),financial,zippay,97
Arkansas Heart Hospital(arheart.com),administration,patient payments,72
Arkansas Womens Center Pa(baptist-health.org),administration,medical billing,91
Artis Senior Living(artisseniorliving.com),personal finance,debt relief,97
"Asbury Communities, Inc.(asbury.org)",transactions & payments,payment plan,67
"Asbury Communities, Inc.(asbury.org)",administration,patient payments,94
Ascension Crittenton Hospital(crittenton.com),financial,wells fargo (wfc),75
Ascension Crittenton Hospital(crittenton.com),administration,patient payments,91
Ascension Crittenton Hospital(crittenton.com),personal finance,debt relief,88
Ascension Crittenton Hospital(crittenton.com),administration,medical billing,90
Ascension Health Ministry Service Center(ascensionhealth.org),administration,patient payments,75
Ascension Health Ministry Service Center(ascensionhealth.org),administration,medical billing,95
Aseracare(aseracare.com),administration,medical billing,97
Ashtabula Regional Medical Center(acmchealth.org),administration,medical billing,86
Asociacion Puertorriquenos En Marcha(apmphila.org),financial,paypal pay in 4,70
Asociacion Puertorriquenos En Marcha(apmphila.org),financial,wells fargo (wfc),81
Asociacion Puertorriquenos En Marcha(apmphila.org),administration,patient payments,95
Aspire Indiana Health(aspireindiana.org),personal finance,debt relief,83
Aspirus Health(aspirus.org),administration,patient payments,62
Aspirus Health(aspirus.org),financial,afterpay,85
"Assisting Hands Home Care, Llc(assistinghands.com)",administration,patient payments,67
"Assisting Hands Home Care, Llc(assistinghands.com)",financial,paypal (pypl),92
"At Beckman Coulter, we are dedicated to advancing & optimizing the laboratory. For more than 80 ye(beckman.com)",administration,medical billing,95
Athletico(athletico.com),administration,patient payments,79
Athletico(athletico.com),financial,afterpay,79
Ati Physical Therapy(atipt.com),financial,sezzle,75
Ati Physical Therapy(atipt.com),administration,medical billing,98
Ati Physical Therapy(atipt.com),personal finance,debt relief,92
"Atlanta Plastic Surgery, P.C.(atlplastic.com)",financial,paypal (pypl),67
Atlantic Health(atlantichealth.org),administration,medical billing,88
Atlanticare(atlanticare.org),financial,afterpay,83
Atlanticare(atlanticare.org),administration,patient payments,65
Atlanticare(atlanticare.org),administration,medical billing,100
Atrium Health(atriumhealth.org),financial,sezzle,65
Atrium Health(atriumhealth.org),administration,patient payments,72
Atrium Health(atriumhealth.org),administration,medical billing,95
Atrius Health(atriushealth.org),financial,paypal pay in 4,65
Atrius Health(atriushealth.org),financial,wells fargo (wfc),65
Augusta University Health(augustahealth.org),financial,paypal pay later,86
Augusta University Health(augustahealth.org),personal finance,debt relief,62
Aultman Home Medical Supply(aultman.com),financial,klarna,98
Aultman Home Medical Supply(aultman.com),financial,paypal pay later,91
Aultman Home Medical Supply(aultman.com),administration,patient payments,72
Aurora Advanced Healthcare(ah.com),personal finance,debt relief,62
Aurora Advanced Healthcare(ah.com),financial,afterpay,72
Aurora Advanced Healthcare(ah.com),administration,patient payments,92
Aurora Health Care(aurora.org),administration,medical billing,92
Aurora Health Care(aurora.org),financial,afterpay,94
Aurora Health Care(aurora.org),financial,paypal pay in 4,94
Aurora Health Care(aurorahealthcare.org),financial,afterpay,79
Aurora Health Care(aurorahealthcare.org),administration,patient payments,99
Aurora Health Care(aurorahealthcare.org),administration,medical billing,81
Aurora Health Care(aurorahealthcare.org),financial,klarna,62
Avante Group Inc.(avantecenters.com),financial,paypal pay in 4,65
Aveanna Healthcare(aveanna.com),financial,afterpay,85
Avera Health(avera.org),administration,medical billing,93
Avera Health(avera.org),financial,paypal pay in 4,65
Avera Health(avera.org),financial,zippay,97
Avita Community Partners(avitapartners.org),personal finance,debt relief,70
Axia Women's Health(axiawh.com),financial,afterpay,72
Axia Women's Health(axiawh.com),administration,patient payments,62
Azalea Orthopedics & Sports Medicine Clinic(azaleaortho.com),financial,wells fargo (wfc),90
Azalea Orthopedics & Sports Medicine Clinic(azaleaortho.com),financial,paypal (pypl),65
"BARNETT, ELLEN H(shrinenet.org)",administration,medical billing,98
"BARNETT, ELLEN H(shrinenet.org)",financial,paypal pay in 4,81
"BARNETT, ELLEN H(shrinenet.org)",financial,wells fargo (wfc),99
"BATES, KELLI(infoave.net)",financial,afterpay,75
"BATES, KELLI(infoave.net)",administration,medical billing,97
"BAXTER, SEYMOUR M.D.(usmo.com)",administration,patient payments,62
"BEACH, JASON PAUL(medstar.net)",financial,afterpay,67
"BEACH, JASON PAUL(medstar.net)",administration,medical billing,75
"BEACH, JASON PAUL(medstar.net)",personal finance,debt relief,72
"BEACH, JASON PAUL(medstar.net)",administration,patient payments,67
BONE & JOINT CLINIC(covhlth.com),financial,wells fargo (wfc),83
BONE & JOINT CLINIC(covhlth.com),administration,patient payments,92
BRONSON HEALTHCARE MIDWEST ORTHOPEDIC &(bronsonhg.org),administration,patient payments,97
BRONSON HEALTHCARE MIDWEST ORTHOPEDIC &(bronsonhg.org),administration,medical billing,93
BRONSON HEALTHCARE MIDWEST ORTHOPEDIC &(bronsonhg.org),financial,paypal pay in 4,83
Balance Health(balancehealth.com),financial,paypal (pypl),72
Baltimore Medical System(bmsi.org),financial,paypal pay in 4,79
Bamsi(bamsi.org),administration,patient payments,94
Bamsi(bamsi.org),administration,medical billing,86
Banner Health(bannerhealth.com),administration,medical billing,85
Banner Health(bannerhealth.com),administration,patient payments,81
Baptist Health - Central Alabama(baptistfirst.org),administration,medical billing,97
Baptist Health - Central Alabama(baptistfirst.org),financial,paypal (pypl),86
Baptist Health - Central Alabama(baptistfirst.org),personal finance,debt relief,91
Baptist Health - Central Alabama(baptistfirst.org),financial,paypal pay later,77
Baptist Health - Central Alabama(baptistfirst.org),financial,afterpay,79
Baptist Health - Central Alabama(baptistfirst.org),financial,paypal pay in 4,67
Baptist Health Boca Raton Regional Hospital(brrh.com),financial,klarna,70
Baptist Health Louisville(baptisthealthlouisville.com),financial,wells fargo (wfc),88
Baptist Health System(baptisthealthsystem.com),financial,wells fargo (wfc),75
Baptist Health(baptistjax.com),financial,afterpay,90
Baptist Medical Center(e-baptisthealth.com),administration,medical billing,85
Baptist Medical Center(e-baptisthealth.com),financial,paypal pay in 4,65
Baptist Medical Network(bhsphysiciansnetwork.com),administration,medical billing,98
Baptist Memorial Health Care(baptistonline.org),administration,medical billing,88
Baptist Memorial Health Care(baptistonline.org),financial,afterpay,75
Baptist Memorial Health Care(baptistonline.org),financial,paypal pay in 4,62
"Baptist Memorial Hospital-Golden Triangle, Inc.(bmhcc.org)",financial,wells fargo (wfc),91
"Baptist Memorial Hospital-Golden Triangle, Inc.(bmhcc.org)",financial,paypal pay later,65
"Baptist Memorial Hospital-Golden Triangle, Inc.(bmhcc.org)",administration,patient payments,85
